Domain, Vbus
2.499,314.756084284
2.5,314.754818363
2.501,314.701949324
2.502,314.09679323
2.503,-82.1958502955
2.504,-31.543077417
2.505,1.3530851681
2.506,5.52897902104
2.507,30.9288974944
2.508,107.865815716
2.509,1.47036750919
2.51,-76.2546577911
2.511,-103.809962779
2.512,-126.426598147
2.513,-124.244120312
2.514,-32.1403204
2.515,34.8554347871
2.516,63.2540038619
2.517,72.5631304431
2.518,46.1939633543
2.519,-21.5357674484
2.52,-68.1360458787
2.521,-86.4492974494
2.522,-87.2473586605
2.523,-62.4382869569
2.524,-25.127685696
2.525,-17.5333511622
2.526,-38.9900679769
2.527,-67.9306975975
2.528,-97.0979709599
2.529,-109.522332858
2.53,-87.3629885551
2.531,-40.1970498639
2.532,6.35787267861
2.533,44.0975390287
2.534,60.0657136369
2.535,59.7269341514
2.536,52.018933146
2.537,50.3502755159
2.538,55.7608679793
2.539,60.8953473256
2.54,60.5145649985
2.541,49.6422007562
2.542,33.3988122785
2.543,16.2945371264
2.544,6.80262422365
2.545,5.91250686274
2.546,10.7211489241
2.547,14.5021441419
2.548,18.0598958232
2.549,17.469738463
2.55,12.1708006742
2.551,5.21141269494
2.552,-1.27737854096
2.553,-5.34820424852
2.554,-6.53738995917
2.555,-5.93913229626
2.556,-4.89494708431
2.557,-3.30440236796
2.558,-7.45414115267
2.559,-16.0610410243
2.56,-21.8509507352
2.561,-23.1634862102
2.562,-21.1682568995
2.563,-14.5753387741
2.564,-4.76442589911
2.565,0.816350819277
2.566,1.43698317603
2.567,-1.8246220675
2.568,-6.77148507154
2.569,-11.0592135544
2.57,-12.1800347393
2.571,-10.9933446987
2.572,-7.60952559992
2.573,-2.79723294947
2.574,0.692407251293
2.575,4.3749367507
2.576,7.89614935151
2.577,9.72898922515
2.578,10.4505544938
2.579,11.7840332435
2.58,11.3796089776
2.581,10.4137405576
2.582,9.53417019067
2.583,8.59879813821
2.584,6.51543052679
2.585,4.64447227469
2.586,2.87949847434
2.587,1.2289449827
2.588,0.148741522911
2.589,-0.386717793962
2.59,-0.558429772697
2.591,-0.209720327733
2.592,0.464719534316
2.593,1.19083218533
2.594,2.29533239614
2.595,3.24232828468
2.596,3.39536591548
2.597,3.03890228227
2.598,2.26274676938
2.599,1.13326016177
2.6,-0.215025894338
2.601,-1.0216717819
