Domain, Vbus
2.499,314.9567964
2.5,314.8278335
2.501,314.7925842
2.502,315.0637676
2.503,262.5281391
2.504,203.7401255
2.505,193.7155318
2.506,198.9141059
2.507,175.023335
2.508,161.5963652
2.509,163.5418434
2.51,178.6180815
2.511,182.0447367
2.512,177.0251524
2.513,165.8729399
2.514,158.3219761
2.515,164.6752363
2.516,167.9077358
2.517,163.8616405
2.518,152.7208199
2.519,139.9572733
2.52,133.032998
2.521,120.0140406
2.522,107.4980538
2.523,99.88352464
2.524,86.26690236
2.525,69.63003337
2.526,53.32150375
2.527,43.64247707
2.528,39.75151384
2.529,42.55069296
2.53,48.89812251
2.531,54.68337623
2.532,59.01086574
2.533,61.05063787
2.534,61.926822
2.535,63.4434024
2.536,63.98906412
2.537,64.27709238
2.538,64.66793726
2.539,63.7441682
2.54,62.6644838
2.541,60.47519796
2.542,56.43093064
2.543,52.469496
2.544,47.19159567
2.545,40.7227054
2.546,35.17873816
2.547,29.09668543
2.548,24.19088796
2.549,21.61451741
2.55,19.88266435
2.551,19.85809949
2.552,20.66436703
2.553,20.77108831
2.554,21.57271553
2.555,22.25795061
2.556,22.3389237
2.557,23.92788933
2.558,25.10857727
2.559,26.18812528
2.56,27.97933138
2.561,28.36640416
2.562,28.00253591
2.563,27.33138611
2.564,25.23573272
2.565,23.17160587
2.566,20.7091407
2.567,18.44837158
2.568,16.76234024
2.569,14.77648431
2.57,13.14207073
2.571,12.51256396
2.572,11.99633148
2.573,12.18010598
2.574,13.0216513
2.575,13.3812733
2.576,14.56495969
2.577,16.09378757
2.578,17.55853914
2.579,19.48383358
2.58,20.55004957
2.581,21.81241755
2.582,23.1979044
2.583,23.52595042
2.584,23.62791631
2.585,23.34092389
2.586,22.81082306
2.587,22.31949552
2.588,21.358262
2.589,20.296723
2.59,19.51677862
2.591,18.43488973
2.592,17.22850451
2.593,16.54727983
2.594,15.77780156
2.595,15.0592824
2.596,15.15928123
2.597,14.89537555
2.598,14.98668138
2.599,15.63401215
2.6,15.97358568
2.601,16.66199659
