time,50km/S1/100mh/200ohm,50km/S1/100mh/5ohm,50km/S1/160mh/0.01ohm,50km/S1/160mh/200ohm,50km/S1/160mh/25ohm,50km/S1/160mh/5ohm,50km/S1/40mh/200ohm,550km/S1/100mh/5ohm,550km/S1/160mh/0.01ohm,550km/S1/160mh/200ohm,550km/S1/160mh/25ohm,550km/S1/160ohm/5ohm,700km/S1/160mh/0.01ohm,700km/S1/160mh/200ohm,700km/S1/160mh/25ohm,700km/S1/160mh/5ohm
2.499,314.906375591,314.906375591,314.869291142,314.869291142,314.869291142,314.869291142,314.869291142,314.801541765,314.756084284,314.756084284,314.756084284,314.756084284,314.9567964,314.9567964,314.9567964,314.9567964
2.5,314.886516735,314.886516735,314.867655494,314.867655494,314.867655494,314.867655494,314.867655494,314.730558348,314.754818363,314.754818363,314.754818363,314.754818363,314.8278335,314.8278335,314.8278335,314.8278335
2.501,177.38845166,42.7839267852,18.0778956671,163.072056888,56.0831790777,26.6348246582,163.072056888,314.697081042,314.701949324,314.701949324,314.701949324,314.701949324,314.7925842,314.7925842,314.7925842,314.7925842
2.502,184.338624505,57.4883486035,47.2350953492,182.694104071,74.1830607906,52.1368342148,182.694104071,314.16231016,314.078455464,314.543290106,314.209156036,314.09679323,315.0637676,315.0637676,315.0637676,315.0637676
2.503,188.551698736,16.6589122595,6.0363715743,187.375545223,54.9081093244,17.3582819881,187.375545223,-59.6060666588,-100.002483484,165.104938329,-23.958879066,-82.1958502955,177.946147,262.5281391,201.846125,183.5911907
2.504,186.926414577,9.85259178315,2.59738010534,186.629347802,53.2454891257,14.4824437349,186.629347802,3.29187330239,-45.6845312007,173.774115232,15.3549729999,-31.543077417,28.69352074,203.7401255,78.52201922,40.27398012
2.505,185.752262602,11.4627556544,4.02164832893,185.79896568,52.5523248961,14.88836934,185.79896568,10.9900670029,-11.1525994431,184.311655325,42.8373479051,1.3530851681,7.814809034,193.7155318,59.9515806,19.89319063
2.506,184.73506119,12.6339806109,2.5091775551,185.13890626,51.1213758872,13.5991839301,185.13890626,5.43626896702,-8.00564862841,191.120905116,49.4797117317,5.52897902104,-9.232118243,198.9141059,53.25793945,5.519533341
2.507,184.473919015,12.1585850527,0.965174214013,184.778279628,50.2098745836,12.5177370595,184.778279628,25.7018487883,19.3887659272,197.72630901,68.8896974875,30.9288974944,-42.76153871,175.023335,17.52608626,-29.12283229
2.508,185.589382195,12.2323152355,-0.0893759845221,185.656885964,50.9699892868,12.3089043393,185.656885964,56.9724567818,107.627909184,185.513299091,113.252599923,107.865815716,-92.18539551,161.5963652,-18.84534352,-75.13306476
2.509,192.921360068,8.39926809122,-3.32095864726,194.223299245,50.6327850525,9.10124166636,194.223299245,-57.2995966496,-11.6102348005,181.3142713,43.2422949959,1.47036750919,-107.8446179,163.5418434,-27.97242266,-89.21432605
2.51,170.274626584,0.337538218764,-7.67137575727,166.980886681,37.6208568642,2.86684121121,166.980886681,-95.8806464469,-98.878258953,184.260821656,-6.2680338913,-76.2546577911,-66.37301528,178.6180815,5.607766238,-49.96051385
