bus_id,pg,qg,qmax,qmin,vg,mbase,status,pmax,pmin,pc1,pc2,qc1min,qc1max,qc2min,qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_pmax,mu_pmin,mu_qmax,mu_qmin
30,250,161.76,400,140,1.0499,100,1,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,677.87,221.57,300,-100,0.982,100,1,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,650,206.97,300,150,0.9841,100,1,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,632,108.29,250,0,0.9972,100,1,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,508,166.69,167,0,1.0123,100,1,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,650,210.66,300,-100,1.0494,100,1,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,560,100.17,240,0,1.0636,100,1,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,540,-1.3695,250,0,1.0275,100,1,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,830,21.733,300,-150,1.0265,100,1,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1000,78.467,300,-100,1.03,100,1,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
